entry,KCL_control_1,KCL_control_2,KCL_control_3,KCL_KCL_1,KCL_KCL_2,KCL_KCL_3,NaCl_control_1,NaCl_control_2,NaCl_control_3,NaCl_KCL_1,NaCl_KCL_2,NaCl_KCL_3,Sorb_control_1,Sorb_control_2,Sorb_control_3,Sorb_KCL_1,Sorb_KCL_2,Sorb_KCL_3,FC_kcl,FC_nacl,FC_sorb,log2_FC_kcl,log2_FC_nacl,log2_FC_sorb,pval_kcl,pval_nacl,pval_sorb,adj_pval_kcl,adj_pval_nacl,adj_pval_sorb,neg_log10_adj_pval_kcl,neg_log10_adj_pval_nacl,neg_log10_adj_pval_sorb,uniprot
G4MTI8_MAGO7,164798.6666666667,161753,130362.6666666667,119567.3333333333,123608.6666666667,174300.6666666667,175897.3333333333,169867.6666666667,139956.6666666667,129962,89312.3333333333,134402.6666666667,174409,147123.3333333333,124805,76562,75723,70943.6666666667,0.7641816019898654,0.7650779135915604,0.5146906223803159,-0.3880125702951765,-0.38632141920178564,-0.9582225978852927,0.5610908177186447,0.07234038807494271,0.0067594338716877285,0.7785954115232382,0.25108025744299184,0.050375345523803385,0.10868816002706559,0.6001874347209707,1.297781962020729,G4MTI8
G4MP11_MAGO7,264554.6666666667,251542.3333333333,262501.6666666667,281178.3333333333,260329.6666666667,262494,281929,304903,288130.3333333333,282743.3333333333,235288.6666666667,286869.6666666667,235339,230089,216046.3333333333,277539.6666666667,259045.3333333333,254735,0.9999707938362296,0.9813035998755193,1.1258484035887562,-4.213620295642995e-5,-0.027228542263059624,0.17101258042469492,0.33614679862753793,0.262346388276613,0.015588119373111681,0.6271499156212124,0.5010454639687814,0.0807582744198818,0.20262863182529098,0.3001228652406617,1.0928129692966222,G4MP11
G4MQ03_MAGO7,453383.3333333333,489507,440576.6666666667,517252,527419.3333333333,595621.6666666667,538636.3333333333,533059,515612,462142,422896.3333333333,519862.6666666667,463324.6666666667,443715,412881.6666666667,498005.3333333333,466262,448407.3333333333,1.163296695217439,0.8669621936783733,1.0508141487215894,0.21821909864172817,-0.2059590128381274,0.07150753092968146,0.04035406135894158,0.10406529117268598,0.20845394728855998,0.25130839591120174,0.3104556512576451,0.38425587586283305,0.5997930019088343,0.5080004302368322,0.4153794827474266,G4MQ03
G4MZ86_MAGO7,570966,528893.3333333333,582683,461217.6666666667,543415.3333333333,725402.3333333333,527647,527365.3333333333,499017.6666666667,586832,475358,495069,479417.6666666667,420902,420156.3333333333,775619.6666666667,257447.6666666667,428152.6666666667,0.9517472727506249,0.9387590892082404,1.0172264961123176,-0.07134956416316729,-0.09117312380008226,0.024640946094645826,0.8523217750878033,0.9773516949666022,0.7754327996771693,0.9426167335018817,0.990116651800351,0.8639675742032366,0.025664854834154274,0.0043136354542462,0.0635025568369244,G4MZ86
G4NAE0_MAGO7,471838,466811,431866.6666666667,419903.3333333333,457500.6666666667,527727.6666666667,506429,503224.3333333333,457483,543924,391837.6666666667,502915,379452,397831.3333333333,372746,413111.6666666667,373671.6666666667,361119.3333333333,0.9800554542773557,0.9993852973458491,0.9847666283658189,-0.029064711631475112,-8.871011504224496e-4,-0.02214622208499343,0.7514418575107766,0.853273275701528,0.9693950150539079,0.891072878965504,0.9390743515431992,0.9837892300118756,0.05008677448366559,0.027300020953703583,0.0070979361698721025,G4NAE0
G4NDY5_MAGO7,290692.3333333333,339532.6666666667,344124.3333333333,286255,261877,318475.3333333333,256042.3333333333,257285.3333333333,285708,257337.3333333333,277843.3333333333,275039,193127,214553.6666666667,193158,183984.6666666667,192232.3333333333,165434,0.843085299598075,1.069003803818329,0.9525086544003701,-0.24624949090680612,0.09626698658513518,-0.0701958940359707,0.20402181784955126,0.7644376712533194,0.13799184502739886,0.4985972977487004,0.8972084246815276,0.29890605584438207,0.30225007957474104,0.04710665709584499,0.5244652860542085,G4NDY5
G4N5Q4_MAGO7,106953.3333333333,112958.3333333333,115633.3333333333,131731,125373.6666666667,138367.3333333333,112640.6666666667,119683.6666666667,131765,118172,108253.3333333333,131496,123642.6666666667,122900.3333333333,113406.3333333333,113033,161531.6666666667,115269,1.1661910734046481,0.987369482329808,0.9379063251794817,0.22180418482436717,-0.01833804001682299,-0.09248425631265875,0.011737279423053873,0.8257267661246377,0.5706598044146929,0.15937989953409998,0.929398454742179,0.7146317635270678,0.7975664512703338,0.03179805393322384,0.1459176844420634,G4N5Q4
G5EH53_MAGO7,186655,216348,217509.3333333333,216878.3333333333,215566,240990.6666666667,231373.6666666667,208250.6666666667,190277.3333333333,219469.6666666667,217420.3333333333,212273,249603,245203.6666666667,179346.3333333333,205043,187276.6666666667,240907.3333333333,1.002451297600779,1.0440318718467485,0.8362150647556928,0.0035321474865742017,0.06216575467924321,-0.25805406053119445,0.24776814261327637,0.623377409302935,0.6477115550189759,0.5456942262921672,0.8026771297829689,0.7745514355778736,0.26305064123740934,0.09545911094941932,0.11094973678673459,G5EH53
G4NCH2_MAGO7,504066.6666666667,483750.3333333333,455631.3333333333,427959,417409.6666666667,480734.3333333333,489554.3333333333,448638,467965.6666666667,456101.6666666667,509486,440693.3333333333,555651.6666666667,360305,345233,463765.6666666667,337474.3333333333,438304.6666666667,0.8846691578507095,0.9746477127595543,1.2164823320982687,-0.1767900674503472,-0.03704724514935589,0.28271536706688,0.1799260254275767,0.9987166143801753,0.9307219136911378,0.46646141260155705,0.9991755343408957,0.9621249800053239,0.33118427686356794,3.582085719001009e-4,0.01676850945787909,G4NCH2
G4MMY9_MAGO7,206940.3333333333,231816,208110,231837.6666666667,263832.6666666667,285538.6666666667,246461.3333333333,236240.6666666667,240486,239742.6666666667,225192.3333333333,232001.6666666667,231901,237368,224577.3333333333,269338,277132.6666666667,253483,1.2677558342543207,0.9647200530037785,1.1614352676357584,0.3422769137501668,-0.05181773979899805,0.21590874806549942,0.06345482571972466,0.1641088938302182,0.010933303887410295,0.2950502581832587,0.3893221630227517,0.06769505577675294,0.5301040009961208,0.4096908724069137,1.1694430495908612,G4MMY9
